hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
The Gregory Hotel New York,#267 of 479 Hotels in New York City,179,4 Star Hotel,42 W 35th St,Between 6th and 5th Avenues near Herald Square,846 reviews,40,"['All reviews', 'the empire state building', 'herald square', 'new york', 'boutique hotel', 'times square', 'free coffee in the morning', 'comfort inn', 'good size', 'penn station', 'noisy at night', 'central location', 'excellent location', 'small hotel', 'bottled water', 'around the corner', 'comfy bed', 'king room']"
11 Howard,#143 of 479 Hotels in New York City,359,5 Star Hotel,11 Howard St,"New York City, NY 10013-3111",654 reviews,45,"['All reviews', 'avocado toast', 'soho location', 'new york', 'to order room service', 'design hotel', 'canal st', 'holiday inn', 'the general manager', 'home away from home', 'lower east side', 'rooms are great', 'hotel bar', 'amazing hotel', 'rooms are small', 'east village', 'lounge area', 'ny hotel']"
Soho Grand Hotel,#171 of 479 Hotels in New York City,316,4 Star Hotel,310 West Broadway,"New York City, NY 10013-2225","3,222 reviews",40,"['All reviews', 'grand bar', 'great location', 'west broadway', 'new york', 'canal street', 'club room', 'room service', 'lounge area', 'rooms are small', 'greenwich village', 'corner room', 'lower manhattan', 'mini bar', 'coffee machine', 'the empire state building', 'nyc', 'concierge']"
Gansevoort Meatpacking NYC,#243 of 479 Hotels in New York City,428,4 Star Hotel,18 9th Avenue,at 13th Street,"1,982 reviews",40,"['All reviews', 'rooftop pool', 'chelsea market', 'manhattan suite', 'the meat packing district', 'new york', 'the high line', 'whitney museum', 'hudson river', 'trendy hotel', 'bottle of champagne', 'location is fantastic', 'lobby bar', 'street noise', 'highline', 'hip', 'nyc', 'nightlife']"
Hotel Elysee by Library Hotel Collection,#6 of 479 Hotels in New York City,350,4 Star Hotel,60 E. 54th St.,"New York City, NY 10022-4642","4,463 reviews",45,"['All reviews', 'monkey bar', 'club room', 'wine and cheese', 'new york', 'continental breakfast', 'second floor lounge', 'central park', 'cocktail hour', 'bagels', 'hard boiled eggs', 'fresh fruit', 'charming hotel', 'home away from home', 'small hotel', 'each evening', 'king suite', 'midtown manhattan']"
SIXTY SoHo,#94 of 479 Hotels in New York City,425,4 Star Hotel,60 Thompson St,"New York City, NY 10012-4308","1,172 reviews",45,"['All reviews', 'rooftop bar', 'thompson street', 'great location', 'quiet street', 'new york', 'cool vibe', 'restaurant downstairs', 'king suite', 'beautiful hotel', 'room service', 'around the corner', 'rooms are small', 'concierge', 'nyc', 'lobby', 'thomson', 'hip']"
"Club Quarters Hotel, Grand Central",#42 of 479 Hotels in New York City,278,4 Star Hotel,128 E 45th St,"New York City, NY 10017-3104","1,279 reviews",45,"['All reviews', 'top floor', 'club living', 'great location', 'water dispenser', 'floor lounge', 'new york', 'living room', 'lexington ave', 'chrysler building', 'free coffee', 'wine hour', 'business travel', 'business hotel', 'rooms are small', 'special thanks', 'excellent stay', 'excellent hotel']"
Fifty Hotel & Suites by Affinia,#212 of 479 Hotels in New York City,229,4 Star Hotel,155 East 50th Street,corner of 3rd Avenue and 50th Street,"1,640 reviews",40,"['All reviews', 'fifty nyc', 'wine hour', 'welcome home', 'great location', 'ess a bagel', 'new york', 'pillow menu', 'second floor lounge', 'junior suite', 'complimentary wine', 'small kitchen', 'club room', 'huge room', 'nyc hotel', 'two queen beds', 'street noise', 'central park']"
The Benjamin,#113 of 479 Hotels in New York City,429,4 Star Hotel,125 East 50th Street,at Lexington Avenue,"3,030 reviews",45,"['All reviews', 'pillow menu', 'national restaurant', 'one bedroom suite', 'new york', 'small kitchenette', 'mini kitchen', 'lexington avenue', 'midtown location', 'the sofa bed', 'central park', 'rockefeller center', 'waldorf astoria', 'wonderful hotel', 'turn down service', 'boutique hotel', 'an upgrade', 'street noise']"
the Quin,#46 of 479 Hotels in New York City,305,5 Star Hotel,101 West 57th Street,at 6th Avenue,"3,243 reviews",45,"['All reviews', 'central park', 'wayfarer restaurant', 'great location', 'new york', 'nespresso machine', 'carnegie hall', 'concierge service', 'room service', 'corner room', 'the air conditioning', 'wonderful hotel', 'street noise', 'columbus circle', 'two blocks', 'nyc hotel', 'around the corner', 'times square']"
Hotel Shocard at Times Square,#178 of 479 Hotels in New York City,239,3 Star Hotel,206 West 41th Street,"New York City, NY 10036-7203",350 reviews,40,"['All reviews', 'times square', 'cupcakes', 'bar restaurant attached', 'new york', 'rooms are small', 'penthouse suite', 'no natural light', 'last minute trip', 'boutique hotel', 'subway access', 'pull out couch', 'broadway show', 'bed and pillows', 'nice bathroom', 'coffee maker in the room', 'would definitely stay here again', 'ironing board']"
Wyndham Garden Chinatown,#187 of 479 Hotels in New York City,203,4 Star Hotel,93 Bowery,"New York City, NY 10002-4915","1,636 reviews",45,"['All reviews', 'floor to ceiling windows', 'shared balcony', 'bowery street', 'lower east side', 'new york', 'manhattan bridge', 'canal st', 'shower door', 'the empire state building', 'rooftop lounge', 'corner room', 'subway station', 'freedom tower', 'hotel is located', 'would definitely stay here again', 'few blocks', 'higher floor']"
W New York - Union Square,#230 of 479 Hotels in New York City,509,4 Star Hotel,201 Park Avenue South,"New York City, NY 10003","1,574 reviews",40,"['All reviews', 'front desk', 'bliss products', 'great location', 'new york', 'whole foods', 'by nyc standards', 'an upgrade', 'great room', 'greenwich village', 'lower manhattan', 'lobby bar', 'corner room', 'high floor', 'decent size', 'upon check', 'nyc hotel', 'subway station']"
Hotel 31,#250 of 479 Hotels in New York City,123,2 Star Hotel,120 East 31 Street,"New York City, NY 10016-6809","1,654 reviews",40,"['All reviews', 'shared bathroom', 'the empire state building', 'private bath', 'new york', 'subway station', 'double bed', 'rooms are small', 'lexington ave', 'around the corner', 'times square', 'few blocks', 'walked everywhere', 'central location', 'the air conditioning', 'location is great', 'big apple', 'sink']"
The Lex NYC,#44 of 479 Hotels in New York City,229,3 Star Hotel,67 Lexington Ave,"New York City, NY 10010-1833",796 reviews,45,"['All reviews', 'madison square park', 'blue smoke', 'new york', 'cozy queen', 'small balcony', 'continental breakfast', 'flatiron district', 'a small boutique hotel', 'shake shack', 'comfortable bed', 'would definitely stay here again', 'each morning', 'bottled water', 'front desk staff', 'loved this hotel', 'convenient location', 'few blocks']"
Hotel 32 32,#198 of 479 Hotels in New York City,195,4 Star Hotel,32 E 32nd St,"New York City, NY 10016-5503",650 reviews,40,"['All reviews', 'the empire state building', 'free breakfast', ""captain's cafe"", 'around the corner', 'great location', 'small balcony', 'new york', 'hardwood floors', 'korea town', 'full kitchen', 'breakfast is served', 'penn station', 'business trip', 'rooms are clean', 'ironing board', 'walking distance', 'sofa bed']"
"The Standard, High Line",#128 of 479 Hotels in New York City,503,4 Star Hotel,848 Washington St,at West 13th Street,"3,200 reviews",40,"['All reviews', 'standard grill', 'meatpacking district', 'floor to ceiling windows', 'le bain', 'the boom boom room', 'standard highline', 'hudson river', 'hudson studio', 'the meat packing district', 'whitney museum', 'rooftop bar', 'chelsea market', 'new york', 'top floor', 'cool hotel', 'statue of liberty', 'corner room']"
"The Chatwal, a Luxury Collection Hotel, New York",#50 of 479 Hotels in New York City,545,5 Star Hotel,130 W 44th St,"New York City, NY 10036-4011","1,257 reviews",45,"['All reviews', 'butler service', 'heated toilet seat', 'red door spa', 'head butler', 'times square', 'art deco decor', 'new york', 'starwood points', 'bathroom mirror', 'rain shower', 'the theater district', 'junior suite', 'an upgrade', 'turn down service', 'lobby bar', 'i highly recommend this hotel', 'wonderful hotel']"
Best Western Plus Hospitality House,#117 of 479 Hotels in New York City,598,2 Star Hotel,145 E 49th St,"New York City, NY 10017-1210","1,242 reviews",45,"['All reviews', 'living room', 'full kitchen', 'welcome basket', 'apartment style', 'new york', 'the penthouse', 'breakfast room', 'waffle maker', 'these apartments', 'dining table', 'one bedroom apartment', 'bagels', 'well equipped kitchen', 'times square', 'street noise', 'waldorf astoria', 'rockefeller center']"
Holiday Inn NYC - Lower East Side,#219 of 479 Hotels in New York City,197,4 Star Hotel,150 Delancey Street,"New York City, NY 10002-3308",752 reviews,40,"['All reviews', 'williamsburg bridge', 'delancey street', 'subway station', 'retro bar', 'essex st', 'walking distance to chinatown', 'tenement museum', 'new york', 'front desk staff', 'few blocks', 'bed was comfortable', 'rooms are modern', 'restaurants and bars', 'would definitely stay here again', 'the hotel is clean', 'late at night', 'staff was very friendly and helpful']"
Fairfield Inn & Suites New York Manhattan/Downtown East,#252 of 479 Hotels in New York City,247,2 Star Hotel,95 Henry St,"New York City, NY 10002-7012",426 reviews,40,"['All reviews', 'chinatown area', 'chinese supermarket', 'lower east side', 'brooklyn bridge', 'henry st', 'f line', 'new york', 'microwave and fridge', 'waffle maker', 'subway train', 'breakfast area', 'late at night', 'minute walk', 'bagels', 'breakfast staff', 'financial district', 'rooms were very clean']"
Colonial House Inn,#7 of 72 B&Bs / Inns in New York City,165,3 Star Hotel,318 W 22nd St,"New York City, NY 10011-2602",413 reviews,45,"['All reviews', 'shared bathroom', 'bagels', 'no elevator', 'chelsea district', 'guest house', 'private bath', 'new york', 'rooftop area', 'boiled eggs', 'bed and breakfast', 'the high line', 'metro stop', 'nice breakfast', 'quiet street', 'around the corner', 'chain hotel', 'each morning']"
WestHouse Hotel New York,#135 of 479 Hotels in New York City,265,5 Star Hotel,201 West 55 Street,"New York City, NY 10019-5203","2,171 reviews",45,"['All reviews', 'west house', 'resident fee', 'central park', 'per person per day', 'resort fee is', 'great location', 'new york', 'breakfast and happy hour', 'times square', 'carnegie hall', 'home away from home', 'amazing hotel', 'coffee machine', 'nyc hotel', 'the theater district', 'yogurt', 'subway station']"
Library Hotel by Library Hotel Collection,#3 of 479 Hotels in New York City,332,4 Star Hotel,299 Madison Avenue,At E.41st Street,"4,413 reviews",50,"['All reviews', 'reading room', 'wine and cheese', 'library theme', 'grand central station', 'petite room', 'dewey decimal system', 'madison and vine', 'book lovers', 'rooftop bar', 'love room', 'new york', 'the ny public library', 'bryant park', 'every evening', 'continental breakfast', 'bagels', 'floor lounge']"
The Broome,#12 of 479 Hotels in New York City,389,4 Star Hotel,431 Broome St,"New York City, NY 10013-5920",544 reviews,50,"['All reviews', 'the penthouse', 'inner courtyard', 'boutique hotel', 'new york', 'soho shopping', 'breakfast was delicious', 'rooms are beautiful', 'we loved our stay', 'yogurt', 'great bed', 'small hotel', 'great boutique', 'special thanks', 'the breakfast area', 'perfect location', 'car service', 'perfect stay']"
Casablanca Hotel by Library Hotel Collection,#1 of 479 Hotels in New York City,350,4 Star Hotel,147 West 43rd Street,"New York City, NY 10036-6575","6,235 reviews",50,"['All reviews', ""rick's cafe"", 'wine and cheese', 'times square', 'new york', 'mini suite', 'every evening', 'continental breakfast', 'bagels', 'hard boiled eggs', 'small hotel', 'lounge area', 'perfect location', 'wonderful hotel', 'home away from home', 'big apple', 'the theater district', 'street noise']"
